id,species,origin,size,region,goal,query,n_enabled,critical,core,addons,disabled,query_factor_ok,n_uncertain,review_decision,mentor_comment
silver_01_humangermlinestructuralCNVcoding+regulat,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,I have germline whole-genome data from a rare-disease family and I'm looking at large copy-number changes — big deletions and duplications. I need both a quick read on what genes and regulatory regions they hit and whether any look clinically relevant.,18,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; numbers; protein; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; nmd; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_02_nonhumansomaticsmallcodingpopulationfreq,non-human,somatic,small,coding,population-frequency,We sequenced tumours from a zebrafish cancer model and called point mutations and small indels in coding genes. I mainly want to know how common these variants are in the reference zebrafish population.,7,symbol,biotype; canonical; check_existing; core_type; numbers; symbol,nmd,most_severe; summary,yes,1,,
silver_03_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"Annotating germline SNVs and small indels from a human cohort, across both coding and non-coding regions — I just want the basic consequence and how frequent each one is in the population.",16,af_gnomade; symbol; regulatory,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; core_type; frequency; mane; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,1,,
silver_04_nonhumansomaticstructuralCNVregulatoryno,non-human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"I'm studying somatic structural variants — large deletions and rearrangements — in mouse tumours, focused on non-coding regulatory regions, and I want to interpret which ones are likely functionally important.",9,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; regulatory; symbol,phenotypes,most_severe; summary,yes,2,,
silver_05_nonhumangermlinesmallcoding+regulatoryno,non-human,germline,small,coding+regulatory-noncoding,basic-consequence+population-frequency,"I have inherited small variants (SNVs/indels) from a population survey of wild deer mice, spanning coding and regulatory regions. I want basic consequences and population allele frequencies.",10,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; numbers; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,2,,
silver_06_humansomaticstructuralCNVregulatorynonco,human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation,"Somatic copy-number and structural variants from a human tumour cohort, focused on non-coding regulatory elements — I want to interpret their likely clinical/functional significance.",15,symbol; regulatory; clinvar; gnomad_sv,biotype; canonical; cell_type; check_existing; clinvar; core_type; hgvs; mane; regulatory; symbol,dosage_sensitivity; enformer; gnomad_sv; phenotypes; utrannotator,most_severe; summary,yes,1,,
silver_07_nonhumangermlinestructuralCNVcoding+regu,non-human,germline,structural-CNV,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Germline structural variants (large CNVs) in a chicken breeding population, across coding and regulatory regions — I'd like functional interpretation and how common each CNV is in the population.",12,symbol; regulatory,biotype; canonical; cell_type; check_existing; core_type; hgvs; numbers; protein; regulatory; symbol,nmd; phenotypes,most_severe; summary,yes,3,,
silver_08_humansomaticsmallcodingbasicconsequence,human,somatic,small,coding,basic-consequence,I've called somatic point mutations in the coding regions of a human tumour sample and I just need a quick consequence call on each — nothing fancy.,8,symbol,biotype; canonical; check_existing; core_type; mane; numbers; symbol,nmd,most_severe; summary,yes,0,,
silver_09_humangermlinesmallcoding+regulatorynonco,human,germline,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"Germline SNVs and small indels from a rare-disease patient's genome, spanning coding and regulatory regions. I want full clinical interpretation and population frequencies for ACMG filtering.",26,af_gnomade; symbol; regulatory; clinvar,af; af_1kg; af_gnomade; af_gnomadg; biotype; canonical; cell_type; check_existing; clinvar; core_type; frequency; hgvs; mane; numbers; polyphen; protein; regulatory; sift; symbol,alphamissense; cadd; enformer; nmd; phenotypes; spliceai; utrannotator,most_severe; summary,yes,2,,
silver_10_nonhumansomaticstructuralCNVcodingbasicc,non-human,somatic,structural-CNV,coding,basic-consequence,"Large somatic deletions and duplications from a rat tumour WGS run — I only need to know which protein-coding genes they disrupt, a quick overview.",7,symbol,biotype; canonical; check_existing; core_type; numbers; symbol,nmd,most_severe; summary,yes,1,,
