id,factor,trick,background,plain_query,plain_truth,trap_query,trap_truth,twin_query,twin_truth,absent_query,absent_truth,label_ok (fill in)
spec-nega-1,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Our lab just got back constitutional single-nucleotide changes, and I only care about the non-coding regulatory ones. These are human samples. All I really want is to know what each one hits.",human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the non-coding regulatory ones. Not a mouse study: the samples are from human volunteers. All I really want is to know what each one hits.",human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the non-coding regulatory ones. A mouse study: the samples are from laboratory mice. All I really want is to know what each one hits.",non-human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits.",unstated,
spec-nega-2,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","It's all human data. So I've got somatic single-nucleotide changes, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",human,"No zebrafish involved this time, the DNA is from people in our volunteer cohort. So I've got somatic single-nucleotide changes, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",human,"Zebrafish only this time, the DNA is from our fish facility. So I've got somatic single-nucleotide changes, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",non-human,"So I've got somatic single-nucleotide changes, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",unstated,
spec-nega-3,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Basically we have acquired somatic SNVs and small indels, mostly in regulatory regions. I just need the basic consequences, nothing fancy.",human,"We are not working with dog genomes here; the reads are human. Basically we have acquired somatic SNVs and small indels, mostly in regulatory regions. I just need the basic consequences, nothing fancy.",human,"We are working with dog genomes here; the reads are canine. Basically we have acquired somatic SNVs and small indels, mostly in regulatory regions. I just need the basic consequences, nothing fancy.",non-human,"Basically we have acquired somatic SNVs and small indels, mostly in regulatory regions. I just need the basic consequences, nothing fancy.",unstated,
spec-nega-4,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Our lab just got back germline single-nucleotide changes, and I only care about the ones in coding sequence. The goal is clinical interpretation. These are zebrafish samples.",non-human,"Our lab just got back germline single-nucleotide changes, and I only care about the ones in coding sequence. The goal is clinical interpretation. Not human data: the reads come from our pig herd.",non-human,"Our lab just got back germline single-nucleotide changes, and I only care about the ones in coding sequence. The goal is clinical interpretation. Human data: the reads come from our volunteer donors.",human,"Our lab just got back germline single-nucleotide changes, and I only care about the ones in coding sequence. The goal is clinical interpretation.",unstated,
spec-nega-5,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","I'm working with tumour-derived somatic SNVs and small indels, mostly in regulatory regions. These are zebrafish samples. I need to work out if any of them are pathogenic.",non-human,"I'm working with tumour-derived somatic SNVs and small indels, mostly in regulatory regions. Nothing from people in this set, it is all chicken lines. I need to work out if any of them are pathogenic.",non-human,"I'm working with tumour-derived somatic SNVs and small indels, mostly in regulatory regions. Everything is from people in this set, no chicken lines. I need to work out if any of them are pathogenic.",human,"I'm working with tumour-derived somatic SNVs and small indels, mostly in regulatory regions. I need to work out if any of them are pathogenic.",unstated,
spec-nega-6,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","The samples are from sheep. Basically we have inherited SNVs and small indels, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",non-human,"These aren't Homo sapiens samples, they are Rattus norvegicus. Basically we have inherited SNVs and small indels, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",non-human,"These are Homo sapiens samples, not Rattus norvegicus. Basically we have inherited SNVs and small indels, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",human,"Basically we have inherited SNVs and small indels, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",unstated,
spec-word-1,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. Are any of these likely to be disease-causing? It's all human data.",human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. Are any of these likely to be disease-causing? I've been going down a rabbit hole with these human exomes.",human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. Are any of these likely to be disease-causing? I've been going through these rabbit exomes from the colony.",non-human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. Are any of these likely to be disease-causing?",unstated,
spec-word-2,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","I'm trying to annotate tumour-derived somatic single-nucleotide changes, mostly in protein-coding regions. I just need the basic consequences, nothing fancy. These are human samples.",human,"I'm trying to annotate tumour-derived somatic single-nucleotide changes, mostly in protein-coding regions. I just need the basic consequences, nothing fancy. Our guinea pig for the new pipeline is a set of human genomes.",human,"I'm trying to annotate tumour-derived somatic single-nucleotide changes, mostly in protein-coding regions. I just need the basic consequences, nothing fancy. Our guinea pig colony genomes are the set for the new pipeline.",non-human,"I'm trying to annotate tumour-derived somatic single-nucleotide changes, mostly in protein-coding regions. I just need the basic consequences, nothing fancy.",unstated,
spec-word-3,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Basically we have somatic single-nucleotide changes, mostly in regulatory regions. The samples are human. I need to work out if any of them are pathogenic.",human,"Basically we have somatic single-nucleotide changes, mostly in regulatory regions. Getting consent for these human samples was a cat-and-mouse chase. I need to work out if any of them are pathogenic.",human,"Basically we have somatic single-nucleotide changes, mostly in regulatory regions. Getting these cat and mouse samples was a chase. I need to work out if any of them are pathogenic.",non-human,"Basically we have somatic single-nucleotide changes, mostly in regulatory regions. I need to work out if any of them are pathogenic.",unstated,
spec-word-4,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","I'm working with germline SNVs and small indels, and they're mostly in coding exons. I just need the basic consequences, nothing fancy. It's all zebrafish data.",non-human,"I'm working with germline SNVs and small indels, and they're mostly in coding exons. I just need the basic consequences, nothing fancy. We need human-readable output for these zebrafish variants.",non-human,"I'm working with germline SNVs and small indels, and they're mostly in coding exons. I just need the basic consequences, nothing fancy. We need readable output for these human variants.",human,"I'm working with germline SNVs and small indels, and they're mostly in coding exons. I just need the basic consequences, nothing fancy.",unstated,
spec-word-5,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","It's all mouse data. Basically we have germline SNVs and small indels, and I only care about the non-coding regulatory ones. The goal is clinical interpretation.",non-human,"Human error aside, these calls are from the cattle herd. Basically we have germline SNVs and small indels, and I only care about the non-coding regulatory ones. The goal is clinical interpretation.",non-human,"Error aside, these calls are from human donors. Basically we have germline SNVs and small indels, and I only care about the non-coding regulatory ones. The goal is clinical interpretation.",human,"Basically we have germline SNVs and small indels, and I only care about the non-coding regulatory ones. The goal is clinical interpretation.",unstated,
spec-word-6,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","These are pig samples. Basically we have tumour-derived somatic SNVs and small indels, and I only care about the ones in coding sequence. Can you just tell me the consequence types?",non-human,"After hundreds of man-hours the goat genomes are finally called. Basically we have tumour-derived somatic SNVs and small indels, and I only care about the ones in coding sequence. Can you just tell me the consequence types?",non-human,"After hundreds of hours the donors' human genomes are finally called. Basically we have tumour-derived somatic SNVs and small indels, and I only care about the ones in coding sequence. Can you just tell me the consequence types?",human,"Basically we have tumour-derived somatic SNVs and small indels, and I only care about the ones in coding sequence. Can you just tell me the consequence types?",unstated,
spec-tool-1,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","We have tumour-derived somatic SNVs and small indels, mostly in protein-coding regions. These are human samples. Are any of these likely to be disease-causing?",human,"We have tumour-derived somatic SNVs and small indels, mostly in protein-coding regions. Expression was quantified with Salmon beforehand, and the samples are human. Are any of these likely to be disease-causing?",human,"We have tumour-derived somatic SNVs and small indels, mostly in protein-coding regions. The samples are Atlantic salmon from the fish farm. Are any of these likely to be disease-causing?",non-human,"We have tumour-derived somatic SNVs and small indels, mostly in protein-coding regions. Are any of these likely to be disease-causing?",unstated,
spec-tool-2,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","We have constitutional SNVs and small indels, and I only care about the non-coding regulatory ones. It's all human data. I just need the basic consequences, nothing fancy.",human,"We have constitutional SNVs and small indels, and I only care about the non-coding regulatory ones. Phased with Beagle; the genomes are human. I just need the basic consequences, nothing fancy.",human,"We have constitutional SNVs and small indels, and I only care about the non-coding regulatory ones. The genomes are from beagles in the kennel colony. I just need the basic consequences, nothing fancy.",non-human,"We have constitutional SNVs and small indels, and I only care about the non-coding regulatory ones. I just need the basic consequences, nothing fancy.",unstated,
spec-tool-3,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","So I've got tumour-derived somatic single-nucleotide changes, mostly in regulatory regions. Can you just tell me the consequence types? The samples are human.",human,"So I've got tumour-derived somatic single-nucleotide changes, mostly in regulatory regions. Can you just tell me the consequence types? Scripts are Python and pandas, all human data.",human,"So I've got tumour-derived somatic single-nucleotide changes, mostly in regulatory regions. Can you just tell me the consequence types? All data are from the pandas at the zoo.",non-human,"So I've got tumour-derived somatic single-nucleotide changes, mostly in regulatory regions. Can you just tell me the consequence types?",unstated,
spec-tool-4,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are from chicken. We have inherited single-nucleotide changes, mostly in protein-coding regions. Are any of these likely to be disease-causing?",non-human,"Terms were mapped with the Human Phenotype Ontology, but the animals are zebrafish mutants. We have inherited single-nucleotide changes, mostly in protein-coding regions. Are any of these likely to be disease-causing?",non-human,"Terms were mapped with the Human Phenotype Ontology for these human donors. We have inherited single-nucleotide changes, mostly in protein-coding regions. Are any of these likely to be disease-causing?",human,"We have inherited single-nucleotide changes, mostly in protein-coding regions. Are any of these likely to be disease-causing?",unstated,
spec-tool-5,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Basically we have acquired somatic point mutations and a few short indels, and they're mostly in promoters and enhancers. The samples are from rat. All I really want is to know what each one hits.",non-human,"Basically we have acquired somatic point mutations and a few short indels, and they're mostly in promoters and enhancers. Cross-checked against the Human Protein Atlas; the tissue is from pigs. All I really want is to know what each one hits.",non-human,"Basically we have acquired somatic point mutations and a few short indels, and they're mostly in promoters and enhancers. Cross-checked against the Human Protein Atlas; the tissue is from human donors. All I really want is to know what each one hits.",human,"Basically we have acquired somatic point mutations and a few short indels, and they're mostly in promoters and enhancers. All I really want is to know what each one hits.",unstated,
spec-tool-6,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Basically we have germline single-nucleotide changes, and I only care about the ones in coding sequence. These are pig samples. I need to work out if any of them are pathogenic.",non-human,"Basically we have germline single-nucleotide changes, and I only care about the ones in coding sequence. The pipeline is called HumanSeq internally, but it runs on chicken samples. I need to work out if any of them are pathogenic.",non-human,"Basically we have germline single-nucleotide changes, and I only care about the ones in coding sequence. The pipeline runs on human samples. I need to work out if any of them are pathogenic.",human,"Basically we have germline single-nucleotide changes, and I only care about the ones in coding sequence. I need to work out if any of them are pathogenic.",unstated,
spec-atta-1,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are human. Basically we have tumour-derived somatic point mutations and a few short indels, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",human,"My supervisor works on mouse models, but my samples are human. Basically we have tumour-derived somatic point mutations and a few short indels, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",human,"My supervisor works on mouse models and so do I: these are mouse samples. Basically we have tumour-derived somatic point mutations and a few short indels, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",non-human,"Basically we have tumour-derived somatic point mutations and a few short indels, mostly in protein-coding regions. I need to work out if any of them are pathogenic.",unstated,
spec-atta-2,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. It's all human data. All I really want is to know what each one hits.",human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. The variants were first reported in a zebrafish screen; ours are from human donors. All I really want is to know what each one hits.",human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. The variants come from our zebrafish screen, fish embryos. All I really want is to know what each one hits.",non-human,"Hi, we called inherited single-nucleotide changes, and they're mostly in promoters and enhancers. All I really want is to know what each one hits.",unstated,
spec-atta-3,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Basically we have somatic SNVs and small indels, mostly in regulatory regions. The goal is clinical interpretation. It's all human data.",human,"Basically we have somatic SNVs and small indels, mostly in regulatory regions. The goal is clinical interpretation. We followed a protocol written for pig tissue, but the DNA is human.",human,"Basically we have somatic SNVs and small indels, mostly in regulatory regions. The goal is clinical interpretation. We followed a protocol for pig tissue, and the DNA is porcine.",non-human,"Basically we have somatic SNVs and small indels, mostly in regulatory regions. The goal is clinical interpretation.",unstated,
spec-atta-4,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","I'm trying to annotate constitutional single-nucleotide changes, and they're mostly in coding exons. It's all zebrafish data. I just need the basic consequences, nothing fancy.",non-human,"I'm trying to annotate constitutional single-nucleotide changes, and they're mostly in coding exons. The grant is for human health, but the sequencing is on sheep. I just need the basic consequences, nothing fancy.",non-human,"I'm trying to annotate constitutional single-nucleotide changes, and they're mostly in coding exons. The grant is for human health, and the sequencing is on human volunteers. I just need the basic consequences, nothing fancy.",human,"I'm trying to annotate constitutional single-nucleotide changes, and they're mostly in coding exons. I just need the basic consequences, nothing fancy.",unstated,
spec-atta-5,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","Our lab just got back tumour-derived somatic SNVs and small indels, and they're mostly in coding exons. The samples are from chicken. Can you just tell me the consequence types?",non-human,"Our lab just got back tumour-derived somatic SNVs and small indels, and they're mostly in coding exons. Reads were checked for human contamination and those were removed; what is left is mouse. Can you just tell me the consequence types?",non-human,"Our lab just got back tumour-derived somatic SNVs and small indels, and they're mostly in coding exons. Reads were checked for mouse contamination and those were removed; what is left is human. Can you just tell me the consequence types?",human,"Our lab just got back tumour-derived somatic SNVs and small indels, and they're mostly in coding exons. Can you just tell me the consequence types?",unstated,
spec-atta-6,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Our lab just got back inherited single-nucleotide changes, and I only care about the non-coding regulatory ones. These are zebrafish samples. I need to work out if any of them are pathogenic.",non-human,"Our lab just got back inherited single-nucleotide changes, and I only care about the non-coding regulatory ones. Our collaborators do human genetics; we sent them these rat genomes. I need to work out if any of them are pathogenic.",non-human,"Our lab just got back inherited single-nucleotide changes, and I only care about the non-coding regulatory ones. Our collaborators do human genetics; these are their human genomes. I need to work out if any of them are pathogenic.",human,"Our lab just got back inherited single-nucleotide changes, and I only care about the non-coding regulatory ones. I need to work out if any of them are pathogenic.",unstated,
spec-doma-1,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","We have germline SNVs and small indels, and they're mostly in promoters and enhancers. It's all human data. The goal is clinical interpretation.",human,"We have germline SNVs and small indels, and they're mostly in promoters and enhancers. Human cells grown inside a mouse host; the reads were filtered to the grafted cells. The goal is clinical interpretation.",human,"We have germline SNVs and small indels, and they're mostly in promoters and enhancers. Cells from the mouse host; the reads were filtered to the host genome. The goal is clinical interpretation.",non-human,"We have germline SNVs and small indels, and they're mostly in promoters and enhancers. The goal is clinical interpretation.",unstated,
