id,species,origin,size,region,goal,query,n_enabled,critical,recommended,optional_addons,plugins_used,ice_critical_recall,deterministic_pass,flags,config_source,review_status,critical_ok,optional_ok,query_ok,notes
gen_humangermlinestructuralCNVcoding+regulatorynoncodingbasicconsequence+clinicalinterpretation,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,"I am currently processing germline whole genome sequencing data from a cohort of human pediatric patients presenting with complex neurodevelopmental phenotypes. I need an annotation workflow that can reliably identify the functional impact of both coding SNVs and larger structural variants or CNVs, ensuring that any protein-altering changes are cross-referenced with MANE Select transcripts for diagnostic certainty. Additionally, I need to capture potential disruptions in regulatory and non-coding regions to assess their impact on gene expression; the primary objective is to produce a streamlined output of consequence calls and population allele frequencies to support my clinical interpretation of pathogenicity.",17,clinvar; core_type; gnomad_sv; hgvs; mane; regulatory,appris; biotype; cadd; cell_type; check_existing; dosage_sensitivity; mirna; numbers; phenotypes; symbol; tsl,failed; loeuf; mastermind; nmd; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,,True,query_names_tool:MANE; factor_unrecoverable:variant_size_class(unknown),PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallcodingbasicconsequence,non-human,somatic,small,coding,basic-consequence,I am analyzing somatic SNVs and indels from a mouse tumor WES to quickly identify any high-impact protein-coding variants.,8,core_type,biotype; canonical; check_existing; domains; hgvs; numbers; symbol,coding_only; nmd; protein; uniprot,,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinesmallcoding+regulatorynoncodingclinicalinterpretation+populationfrequency,human,germline,small,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"I am working on a project involving human germline small variants, specifically SNVs and indels, identified from our whole-genome sequencing cohort. My primary goal is to perform clinical interpretation to identify potentially pathogenic variants, so I need to assess the impact on protein-coding sequences as well as any functional changes in regulatory or non-coding regions. Additionally, it is crucial for my analysis that I can incorporate population allele frequency context to help distinguish rare, potentially deleterious variants from common polymorphisms. How should I approach the setup to ensure I am capturing all these biological impacts and the necessary frequency data?",28,af; af_1kg; af_gnomade; af_gnomadg; clinvar; core_type; hgvs; mane; regulatory,alphamissense; appris; biotype; cadd; cell_type; check_existing; domains; enformer; eve; frequency; mirna; numbers; phenotypes; polyphen; sift; spliceai; symbol; tsl; utrannotator,ccds; clinpred; coding_only; dbnsfp; dbscsnv; dosage_sensitivity; failed; geno2mp; loeuf; mastermind; maxentscan; mutfunc; nmd; paralogues; protein; pubmed; revel; uniprot; var_synonyms,alphamissense; cadd; enformer; eve; phenotypes; spliceai; utrannotator,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallregulatorynoncodingbasicconsequence,non-human,somatic,small,regulatory-noncoding,basic-consequence,I am analyzing somatic SNVs and indels from a zebrafish tumor model and need to quickly identify any variants that potentially impact regulatory or non-coding elements.,8,core_type; regulatory,biotype; canonical; cell_type; check_existing; mirna; symbol,hgvs,,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVcoding+regulatorynoncodingclinicalinterpretation+populationfrequency,human,somatic,structural-CNV,coding+regulatory-noncoding,clinical-interpretation+population-frequency,Human tumour genome sequencing with structural dna changes and gene duplications or deletions. I need to see if these affect genes or regulatory regions and check how common they are in healthy people for clinical interpretation.,17,clinvar; core_type; gnomad_sv; hgvs; mane; regulatory,appris; biotype; cadd; cell_type; check_existing; dosage_sensitivity; mirna; numbers; phenotypes; symbol; tsl,failed; loeuf; mastermind; nmd; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.8333333333333334,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallregulatorynoncodingclinicalinterpretation,non-human,germline,small,regulatory-noncoding,clinical-interpretation,I am analyzing WGS data from a mouse cohort to identify germline SNVs and indels within regulatory and non-coding regions for pathogenicity assessment.,11,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; maxentscan; mirna; phenotypes; symbol,failed,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVcoding+regulatorynoncodingbasicconsequence+populationfrequency,human,somatic,structural-CNV,coding+regulatory-noncoding,basic-consequence+population-frequency,"I am starting to set up the pipeline for our human tumor-only whole genome sequencing data from a large cancer cohort, but I am still a bit unsure about how to best capture all the relevant information. We have identified several structural variants and copy number alterations, and my goal is to get a quick top-line summary of their functional consequences. Specifically, I need to see how these changes affect protein-coding regions—ideally identifying impacts on the most reliable transcripts—but I also want to capture any potential disruptions to regulatory or non-coding elements. Additionally, it would be really helpful if the results provided context regarding population allele frequencies so I can distinguish these somatic hits from common germline variation.",13,core_type; gnomad_sv; regulatory,appris; biotype; cell_type; check_existing; dosage_sensitivity; hgvs; mirna; numbers; symbol; tsl,clinvar; nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallcodingclinicalinterpretation,non-human,germline,small,coding,clinical-interpretation,I am analyzing small DNA changes from a mouse study to determine which mutations in the parts of the genome that make proteins are most likely to cause disease.,11,core_type; hgvs,biotype; canonical; check_existing; domains; maxentscan; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,1.0,True,factor_unrecoverable:origin(unknown),PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallcoding+regulatorynoncodingbasicconsequence,non-human,somatic,small,coding+regulatory-noncoding,basic-consequence,"I am currently processing a set of somatic mutations identified from mouse tumor sequencing to identify potential driver candidates in this model. We have a collection of SNVs and small indels derived from both WES and some supplemental WGS data, and I need to perform an initial, high-level annotation pass. The goal is to quickly categorize these variants based on their functional impact, specifically distinguishing between those falling within protein-coding sequences and those residing in regulatory or non-coding regions, so I can prioritize which mutations are worth more rigorous downstream analysis.",11,core_type; regulatory,biotype; canonical; cell_type; check_existing; domains; hgvs; mirna; numbers; symbol,coding_only; nmd; protein; uniprot,,0.5,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVcodingpopulationfrequency,human,germline,structural-CNV,coding,population-frequency,"I am reviewing human germline exome results and need to see how common any identified large-scale DNA deletions or duplications are in the general population, specifically within protein-coding areas.",11,core_type; gnomad_sv,appris; biotype; check_existing; dosage_sensitivity; frequency; hgvs; numbers; symbol; tsl,clinvar; nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
