id,factor,trick,background,plain_query,plain_truth,trap_query,trap_truth,twin_query,twin_truth,absent_query,absent_truth,label_ok (fill in)
spec-nega-1,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Basic consequence annotation, non-coding regulatory elements, constitutional calls, single-nucleotide variants.",human,"Not a mouse study: the samples are from human volunteers. Basic consequence annotation, non-coding regulatory elements, constitutional calls, single-nucleotide variants.",human,"A mouse study: the samples are from laboratory mice. Basic consequence annotation, non-coding regulatory elements, constitutional calls, single-nucleotide variants.",non-human,"Basic consequence annotation, non-coding regulatory elements, constitutional calls, single-nucleotide variants.",unstated,
spec-nega-2,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Point mutations and short indels, in coding sequence, somatic calls, pathogenicity assessment. The samples are human.",human,"Point mutations and short indels, in coding sequence, somatic calls, pathogenicity assessment. No zebrafish involved this time, the DNA is from people in our volunteer cohort.",human,"Point mutations and short indels, in coding sequence, somatic calls, pathogenicity assessment. Zebrafish only this time, the DNA is from our fish facility.",non-human,"Point mutations and short indels, in coding sequence, somatic calls, pathogenicity assessment.",unstated,
spec-nega-3,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Single-nucleotide variants, basic consequence annotation, protein-coding exons, somatic mutations.",human,"We are not working with dog genomes here; the reads are human. Single-nucleotide variants, basic consequence annotation, protein-coding exons, somatic mutations.",human,"We are working with dog genomes here; the reads are canine. Single-nucleotide variants, basic consequence annotation, protein-coding exons, somatic mutations.",non-human,"Single-nucleotide variants, basic consequence annotation, protein-coding exons, somatic mutations.",unstated,
spec-nega-4,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Non-coding regulatory elements, inherited variants, clinical interpretation, SNVs and small indels. The samples are from zebrafish.",non-human,"Non-coding regulatory elements, inherited variants, clinical interpretation, SNVs and small indels. Not human data: the reads come from our pig herd.",non-human,"Non-coding regulatory elements, inherited variants, clinical interpretation, SNVs and small indels. Human data: the reads come from our volunteer donors.",human,"Non-coding regulatory elements, inherited variants, clinical interpretation, SNVs and small indels.",unstated,
spec-nega-5,species,negation,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are from rat. Somatic calls, promoters and enhancers, point mutations and short indels, clinical interpretation.",non-human,"Nothing from people in this set, it is all chicken lines. Somatic calls, promoters and enhancers, point mutations and short indels, clinical interpretation.",non-human,"Everything is from people in this set, no chicken lines. Somatic calls, promoters and enhancers, point mutations and short indels, clinical interpretation.",human,"Somatic calls, promoters and enhancers, point mutations and short indels, clinical interpretation.",unstated,
spec-nega-6,species,negation,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","Basic consequence annotation, in coding sequence, inherited variants, single-nucleotide variants. These are pig samples.",non-human,"Basic consequence annotation, in coding sequence, inherited variants, single-nucleotide variants. These aren't Homo sapiens samples, they are Rattus norvegicus.",non-human,"Basic consequence annotation, in coding sequence, inherited variants, single-nucleotide variants. These are Homo sapiens samples, not Rattus norvegicus.",human,"Basic consequence annotation, in coding sequence, inherited variants, single-nucleotide variants.",unstated,
spec-word-1,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Constitutional calls, point mutations and short indels, pathogenicity assessment, coding regions. It's all human data.",human,"Constitutional calls, point mutations and short indels, pathogenicity assessment, coding regions. I've been going down a rabbit hole with these human exomes.",human,"Constitutional calls, point mutations and short indels, pathogenicity assessment, coding regions. I've been going through these rabbit exomes from the colony.",non-human,"Constitutional calls, point mutations and short indels, pathogenicity assessment, coding regions.",unstated,
spec-word-2,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Just the consequence types, regulatory regions, acquired somatic variants, single-nucleotide variants.",human,"Our guinea pig for the new pipeline is a set of human genomes. Just the consequence types, regulatory regions, acquired somatic variants, single-nucleotide variants.",human,"Our guinea pig colony genomes are the set for the new pipeline. Just the consequence types, regulatory regions, acquired somatic variants, single-nucleotide variants.",non-human,"Just the consequence types, regulatory regions, acquired somatic variants, single-nucleotide variants.",unstated,
spec-word-3,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Just the consequence types, point mutations and short indels, regulatory regions, somatic calls. These are human samples.",human,"Just the consequence types, point mutations and short indels, regulatory regions, somatic calls. Getting consent for these human samples was a cat-and-mouse chase.",human,"Just the consequence types, point mutations and short indels, regulatory regions, somatic calls. Getting these cat and mouse samples was a chase.",non-human,"Just the consequence types, point mutations and short indels, regulatory regions, somatic calls.",unstated,
spec-word-4,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are from pig. Pathogenicity assessment, constitutional calls, SNVs and small indels, in coding sequence.",non-human,"We need human-readable output for these zebrafish variants. Pathogenicity assessment, constitutional calls, SNVs and small indels, in coding sequence.",non-human,"We need readable output for these human variants. Pathogenicity assessment, constitutional calls, SNVs and small indels, in coding sequence.",human,"Pathogenicity assessment, constitutional calls, SNVs and small indels, in coding sequence.",unstated,
